
n	y1[n]	y2[n]
0	3.89448844097	0
1	0.3717381423	0.6965063979
2	-0.1659946596	-0.2834393408
3	-0.4542861252	0.4050961379
4	-0.1391392404	-0.210329296
5	0.00009860979285	0.2074049924
6	0.1647084446	-0.09763931312
7	0.05474581944	0.1155454235
8	-0.03528833573	-0.06410754624
9	-0.006952663621	0.02566592218
10	0.0317721644	-0.03716834877
11	0.003719691951	0.05871140747
12	0.03575655656	-0.04168703758
13	-0.002059412264	0.03847330728
14	-0.006916960082	-0.02365994267
15	0.009752565046	0.04560199107
16	-0.02010309648	-0.04362030434
17	0.006157631553	0.0258258209
18	-0.001254452615	-0.04065555845
19	0.02827712589	0.03772884588
20	-0.004053669659	-0.004796766167
21	-0.002625149654	0.01708621144
22	-0.01448849177	-0.02210597963
23	0.007261760289	0.0149867221
24	0.002415490753	-0.01554463027
25	0.01154221754	0.02037549609
26	-0.00567488693	-0.01483846599
27	0.003034713844	0.01301591359
28	-0.01015129833	-0.01578726986
29	0.004934337379	0.01369881611
30	-0.01026690028	-0.007967574775
31	0.01587882039	0.008365457231
32	-0.005970527441	-0.006508643062
33	0.006105963447	0.008208263037
34	-0.01197342094	-0.006003253679
35	0.0050235743	0.006746363044
