

n	y1[n]	y2[n]
0	4.1832175262	0
1	0.337589049964	0.699375989158
2	-0.152622122998	-0.276255349178
3	-0.493115953503	0.387776204718
4	-0.12700157064	-0.217056318007
5	-0.0114770673333	0.198266754472
6	0.188550170293	-0.0967493181977
7	0.0127019757739	0.0982365651924
8	0.0129548860266	-0.0540438866756
9	-0.012490930434	0.021866693576
10	0.0513690412856	-0.0320129012337
11	-0.0183087747388	0.0442397823045
12	0.0463898375648	-0.0392235021575
13	-0.0104785314563	0.0451437034133
14	0.0154179490097	-0.0260701267398
15	-0.0102911116121	0.0379339894256
16	-0.00670340500841	-0.0514521477964
17	-0.0088101844618	0.0121157376424
18	0.0244240157794	-0.0331824400353
19	0.0134317029653	0.0335104365132
20	0.00923426942618	-0.00974153877961
21	-0.0189771220945	0.0163830818032
22	0.00568571162337	-0.0245636499764
23	-0.0134119951374	0.0140164126005
24	0.0132027182601	-0.0135022679093
25	-0.00737050120272	0.00994703437497
26	0.00903781343217	-0.0166611875933
27	-0.0117090901064	0.0124682179124
28	0.00622961023663	-0.00822331572682
29	-0.00548316899727	0.0176112512548
30	0.00864385575987	-0.0157126433251
31	0.001537286525	0.00964315614085
32	-0.00141972886448	-0.00208686693727
33	-0.0079310316433	0.0116008693744
34	0.00411036059833	-0.00634041804627
35	-0.000536264830619	0.00348403606657
